,Date,Open,High,Low,Close,Adj Close,Volume,USDT Marketcap,USDT Volume,USDT Change
1500,2019-08-05,10960.74,11895.09,10960.74,11805.65,11805.65,23875988832,3558556092,43439236300,-0.002173924930082727
1501,2019-08-06,11811.54,12273.82,11290.73,11478.17,11478.17,23635107660,3559410470,42932405475,0.00024009119932677514
1502,2019-08-07,11476.19,12036.99,11433.7,11941.97,11941.97,22194988641,3570444798,41863491595,0.003100043699090449
1503,2019-08-08,11954.04,11979.42,11556.17,11966.41,11966.41,19481591730,3572108985,38769850392,0.0004661007505093462
1504,2019-08-09,11953.47,11970.46,11709.75,11862.94,11862.94,18339989960,3553361320,39758928446,-0.005248346307104579
1505,2019-08-10,11861.56,11915.66,11323.9,11354.02,11354.02,18125355447,3554876089,39737107351,0.00042629185821163595
1506,2019-08-11,11349.74,11523.58,11248.29,11523.58,11523.58,15774371518,3562200687,37216394173,0.0020604369369343623
1507,2019-08-12,11528.19,11528.19,11320.95,11382.62,11382.62,13647198229,3555065285,35077147744,-0.0020030881544771395
1508,2019-08-13,11385.05,11420.05,10830.33,10895.83,10895.83,16681503537,3558875344,37411768930,0.0010717268726614382
1509,2019-08-14,10889.49,10889.56,10028.14,10051.7,10051.7,19990838300,3550712977,41156292600,-0.0022935242769210884
1510,2019-08-15,10038.42,10437.41,9675.32,10311.55,10311.55,22899115082,3562369900,46008115419,0.003282980932423518
1511,2019-08-16,10319.42,10524.35,9855.48,10374.34,10374.34,20228207096,3561947684,41792606538,-0.00011852110023724549
1512,2019-08-17,10358.72,10452.63,10086.7,10231.74,10231.74,13778035685,3564813559,35268626772,0.0008045808794086007
1513,2019-08-18,10233.01,10487.07,10119.09,10345.81,10345.81,12999813869,3558947739,34526771342,-0.0016454773588904237
1514,2019-08-19,10350.28,10916.05,10313.2,10916.05,10916.05,16038264603,3568209005,36693612402,0.0026022483832826016
1515,2019-08-20,10916.35,10947.04,10618.96,10763.23,10763.23,15053082175,3554933745,35168462671,-0.0037204266850394685
1516,2019-08-21,10764.57,10798.73,9962.72,10138.05,10138.05,19473084768,3563674681,39649388477,0.0024588182585101315
1517,2019-08-22,10142.52,10233.0,9831.46,10131.06,10131.06,17097508856,3563292692,35678010931,-0.00010718963827893724
1518,2019-08-23,10136.31,10442.44,10078.19,10407.96,10407.96,15627023886,3562709197,31831723620,-0.00016375163379367397
1519,2019-08-24,10407.64,10418.02,9982.3,10159.96,10159.96,15451030650,3560666049,33327702170,-0.0005734815521065695
1520,2019-08-25,10160.74,10304.62,10008.79,10138.52,10138.52,14153856610,3562179302,31490746566,0.0004249915547192007
1521,2019-08-26,10126.3,10512.33,10126.3,10370.82,10370.82,18438654080,3553464427,37977318155,-0.0024465009369705193
1522,2019-08-27,10372.83,10381.33,10087.3,10185.5,10185.5,14762609503,3557859845,34179318063,0.0012369387931965292
1523,2019-08-28,10203.43,10279.37,9716.66,9754.42,9754.42,17603790323,3562514240,199423640523,0.0013082007731533007
1524,2019-08-29,9756.79,9756.79,9421.63,9510.2,9510.2,17045878501,3559411911,33687050165,-0.0008708257121240459
1525,2019-08-30,9514.84,9656.12,9428.3,9598.17,9598.17,13595263986,3566660524,29327864498,0.0020364636578302786
1526,2019-08-31,9597.54,9673.22,9531.8,9630.66,9630.66,11454806419,3564804964,29438620417,-0.0005202513632890371
