Date,Open,High,Low,Close,Adj Close,Volume
Dec 13 2017,17500.00,17653.10,16039.70,16408.20,16408.20,12976900096
Dec 12 2017,16919.80,17781.80,16571.60,17415.40,17415.40,14603799552
Dec 11 2017,15427.40,17513.90,15404.80,16936.80,16936.80,12153900032
Dec 10 2017,15168.40,15850.60,13226.60,15455.40,15455.40,13433299968
Dec 09 2017,16523.30,16783.00,13674.90,15178.20,15178.20,13911300096
Dec 08 2017,17802.90,18353.40,14336.90,16569.40,16569.40,21135998976
Dec 07 2017,14266.10,17899.70,14057.30,17899.70,17899.70,17950699520
Dec 06 2017,11923.40,14369.10,11923.40,14291.50,14291.50,12656300032
Dec 05 2017,11685.70,12032.00,11604.60,11916.70,11916.70,6895260160
Dec 04 2017,11315.40,11657.20,11081.80,11657.20,11657.20,6132409856
Dec 03 2017,11082.70,11858.70,10862.00,11323.20,11323.20,6608309760
Dec 02 2017,10978.30,11320.20,10905.10,11074.60,11074.60,5138500096
Dec 01 2017,10198.60,11046.70,9694.65,10975.60,10975.60,6783119872
Nov 30 2017,9906.79,10801.00,9202.05,10233.60,10233.60,8310689792
Nov 29 2017,10077.40,11517.40,9601.03,9888.61,9888.61,11568799744
Nov 28 2017,9823.43,10125.70,9736.30,10058.80,10058.80,6348819968
Nov 27 2017,9352.72,9818.35,9352.72,9818.35,9818.35,5653320192
Nov 26 2017,8789.04,9522.93,8775.59,9330.55,9330.55,5475579904
Nov 25 2017,8241.71,8790.92,8191.15,8790.92,8790.92,4342060032
Nov 24 2017,8074.02,8374.16,7940.93,8253.69,8253.69,5058610176
Nov 23 2017,8232.38,8267.40,8038.77,8038.77,8038.77,4225179904
Nov 22 2017,8077.95,8302.26,8075.47,8253.55,8253.55,3633530112
Nov 21 2017,8205.74,8348.66,7762.71,8071.26,8071.26,4277609984
Nov 20 2017,8039.07,8336.86,7949.36,8200.64,8200.64,3488450048
Nov 19 2017,7766.03,8101.91,7694.10,8036.49,8036.49,3149319936
Nov 18 2017,7697.21,7884.99,7463.44,7790.15,7790.15,3667190016
Nov 17 2017,7853.57,8004.59,7561.09,7708.99,7708.99,4651670016
Nov 16 2017,7323.24,7967.38,7176.58,7871.69,7871.69,5123809792
Nov 15 2017,6634.76,7342.25,6634.76,7315.54,7315.54,4200880128
Nov 14 2017,6561.48,6764.98,6461.75,6635.75,6635.75,3197110016
Nov 13 2017,5938.25,6811.19,5844.29,6559.49,6559.49,6263249920
Nov 12 2017,6295.45,6625.05,5519.01,5950.07,5950.07,8957349888
